month,line,station,variable,value,hour,type,time_period
2026-04-01,1호선,동대문,04시-05시 승차인원,699,4,승차,night
2026-04-01,1호선,동묘앞,04시-05시 승차인원,203,4,승차,night
2026-04-01,1호선,서울역,04시-05시 승차인원,714,4,승차,night
2026-04-01,1호선,시청,04시-05시 승차인원,175,4,승차,night
2026-04-01,1호선,신설동,04시-05시 승차인원,484,4,승차,night
2026-04-01,1호선,제기동,04시-05시 승차인원,376,4,승차,night
2026-04-01,1호선,종각,04시-05시 승차인원,95,4,승차,night
2026-04-01,1호선,종로3가,04시-05시 승차인원,153,4,승차,night
2026-04-01,1호선,종로5가,04시-05시 승차인원,78,4,승차,night
2026-04-01,1호선,청량리(서울시립대입구),04시-05시 승차인원,1304,4,승차,night
2026-04-01,2호선,강남,04시-05시 승차인원,151,4,승차,night
2026-04-01,2호선,강변(동서울터미널),04시-05시 승차인원,26,4,승차,night
2026-04-01,2호선,건대입구,04시-05시 승차인원,302,4,승차,night
2026-04-01,2호선,교대(법원.검찰청),04시-05시 승차인원,15,4,승차,night
2026-04-01,2호선,구로디지털단지,04시-05시 승차인원,324,4,승차,night
2026-04-01,2호선,구의(광진구청),04시-05시 승차인원,81,4,승차,night
2026-04-01,2호선,낙성대(강감찬),04시-05시 승차인원,75,4,승차,night
2026-04-01,2호선,당산,04시-05시 승차인원,35,4,승차,night
2026-04-01,2호선,대림(구로구청),04시-05시 승차인원,775,4,승차,night
2026-04-01,2호선,도림천,04시-05시 승차인원,3,4,승차,night
2026-04-01,2호선,동대문역사문화공원(DDP),04시-05시 승차인원,191,4,승차,night
2026-04-01,2호선,뚝섬,04시-05시 승차인원,25,4,승차,night
2026-04-01,2호선,문래,04시-05시 승차인원,38,4,승차,night
2026-04-01,2호선,방배,04시-05시 승차인원,2,4,승차,night
2026-04-01,2호선,봉천,04시-05시 승차인원,98,4,승차,night
2026-04-01,2호선,사당,04시-05시 승차인원,97,4,승차,night
2026-04-01,2호선,삼성(무역센터),04시-05시 승차인원,129,4,승차,night
2026-04-01,2호선,상왕십리,04시-05시 승차인원,11,4,승차,night
